Name,Meaning,Date,Status
I riched the point,"undestand, realized",12/31/2017,
Witty,Остроумно,12/31/2017,
Shabby,Небрежно,12/31/2017,
Ingenious,Изобретатель,12/31/2017,
criterion,Критерий,12/31/2017,
On the internet,,12/31/2017,
realization,Осознание,12/31/2017,
Ducky,,12/31/2017,
I’d rather use,,12/31/2017,
The trend is go up,,12/31/2017,
Touch the wood,Постучать по дереву,12/31/2017,To use
My observation looks,,12/31/2017,
I’m snowed under,Быть очень занятым,12/31/2017,
Under the weather,Настроение не очень,12/31/2017,
Have influence on,Иметь влияние на,12/31/2017,
Dine and dash,Поел и беги,12/31/2017,
be on fad diet,,12/31/2017,
At my friends place () at my mom’s,На месте кого-то,12/31/2017,
To draw attention,,12/31/2017,
Counterpart,,12/31/2017,
to sneak up behind,Подкрасться сзади,12/31/2017,
Could you spare me a minute,,12/31/2017,
Get to see,Have a chance,12/31/2017,
be sacked,,12/31/2017,
Be made redundant,Будут уволены,12/31/2017,
Be laid off,Будут уволены,12/31/2017,
Feasible future,Выполнимый,12/31/2017,
get mind of the idea,Придумать идею,12/31/2017,To use
get off the ground,Оторваться от земли,12/31/2017,
Interfere in,Лезть,12/31/2017,
Interfere with,мешать,12/31/2017,
get alone with,,12/31/2017,
On time / in time,,12/31/2017,Ask
Rehab,реабилитироваться,12/31/2017,
Eye sighted,зрение,12/31/2017,
I reckon,Полагаю,12/31/2017,
bad apple,,12/31/2017,
Diminish,Уменьшить,12/31/2017,
I catch something,Уловил,12/31/2017,
tardy,запоздалый,12/31/2017,
Bad lack,,12/31/2017,
Lack of amth,,12/31/2017,To use
To be in the black,A lot profit,12/31/2017,
have you ever heard of this rest ,Overall,12/31/2017,
On no account,Ни при каких обстоятельствах,12/31/2017,
At first glance,,12/31/2017,
On the whole,,12/31/2017,
On second thought,Немного подумав,12/31/2017,
In some respect,В некотором отношении,12/31/2017,
As the matter of fact,,12/31/2017,
Up to now,,12/31/2017,
I’d like to find out,To know,12/31/2017,
I wonder if,,12/31/2017,
Seating on the fence,Бездействовать,12/31/2017,
Pet hate,Любимая ненависть,12/31/2017,
"Bother, makes mad, annoy, irritate,",,12/31/2017,
despise,Презрение,12/31/2017,
I catched something,Я заметил,12/31/2017,
candid,беспристрастный,12/31/2017,
jagged,Зазубрины,12/31/2017,
Come across,Натыкаться,7/31/2018,
Self delusion,Самообман,7/31/2018,
Eye to eye,Взаимопонимание,7/31/2018,
Binge,"Без остановок, запой",7/31/2018,
To be eager to do,Азарт,7/31/2018,
Impression on,Впечатление о,7/31/2018,
Clicked with someone,Perfect fit,7/31/2018,
genuine,Original подлинный,7/31/2018,
Downside,Disadvantage,7/31/2018,
Deteriorate,,7/31/2018,
Disturbing,Frustratiing annoing,7/31/2018,
Take up,Start,7/31/2018,
Kick off,"Начать, Start",7/31/2018,
To touch base,Поверхностное общение,7/31/2018,
Under slept,,7/31/2018,
Impose on,Наложить навязыват,7/31/2018,
It is likely to breakthrough in the future,,8/31/2018,
To have snow on the roof,"Седой, опытный",8/31/2018,
Bemused,,8/31/2018,
Self-deluded,,8/31/2018,
Wannabe,,8/31/2018,
Gasp,удушающий,8/31/2018,
Homely,невзрачный,8/31/2018,
Prodigious,Чудовищный,8/31/2018,
Monday blues,,8/31/2018,
To be on a full swing,,8/31/2018,
Drives me mad,,8/31/2018,
Cost a bomb,"A lot, plenty",8/31/2018,
Really neat,Impessive,8/31/2018,
Loads,Large quantity,8/31/2018,
On cloud nine,,8/31/2018,
To b e wide awake,,8/31/2018,
To sleep on smth,,8/31/2018,
"Sound teeth , advice",хорошие зубы,8/31/2018,To use
Blissful,Happy,8/31/2018,
To twitch,дергаться,8/31/2018,
Rest assured,будьте уверены,8/31/2018,
In a blink of an eye,,8/31/2018,
To dim,Приглушать,8/31/2018,
to unwind,Расслабиться ,8/31/2018,
To crush out,заснуть замертво,8/31/2018,
to grab a little shut eye,,8/31/2018,
To go off,БУДИЛЬник зазвонил,8/31/2018,
shutters,Ставни,8/31/2018,
Every other week,,8/31/2018,
Toby out of sync with sub,,8/31/2018,
Blinds,Шторы жалюзи,8/31/2018,
Earplug,,8/31/2018,
To spill the beans,Разболтать,8/31/2018,
To sleep soundly,Хорошо,8/31/2018,
tough,трудный,8/31/2018,
reserved,,8/31/2018,
Responsible,Conscientionus,8/31/2018,
Mean tight0fisted,Gridy,8/31/2018,
The hog the limelight,Attract attention,8/31/2018,
Brash,Joking snide ,8/31/2018,
Hell of a weather,,8/31/2018,To use
Stay tuned,,8/31/2018,To use
To round up,,8/31/2018,
To sugarcoat sth,Подсластить,8/31/2018,
To tiptoe around sth,"На цыпочках, издалека",8/31/2018,
To trip over,To stumbe upon,8/31/2018,
To flee,Escape,8/31/2018,
To be back to square one,To  beginning,8/31/2018,
Sensitive,,8/31/2018,
Sensiblle,здравомыслящий,8/31/2018,
Lightweight reader,,8/31/2018,To use
A tad bigger,Немного,9/30/2018,
Boasted,Хвастаться,9/30/2018,
Recurring,,9/30/2018,
to droop,Закрывать,9/30/2018,
Got used to,,9/30/2018,use
be used to,,9/30/2018,use
captivating,Very interesting,9/30/2018,To use
Used to,,9/30/2018,To use
Pissed of,extremely annoying,9/30/2018,
blissful,Счастливый,9/30/2018,
Design-wise,в смысле,9/30/2018,
stay within the bounds,Оставаться в рамках,9/30/2018,
Device Sports by,Прокачан,9/30/2018,
Pricey,Дороговат,9/30/2018,
vibrant,"Живой, трепещущий",9/30/2018,
Under-the-hood,Под капотом,9/30/2018,
To make it up ещ,Загладить,9/30/2018,
Don’t mess with me,Не связывайся со мной,9/30/2018,
What's your beef,What's your problem,9/30/2018,
Peer presssure,Давление сверстников,9/30/2018,
Was most notable,Примечательно,9/30/2018,
Durability,Долговечность,9/30/2018,
Pathetic,жалкиий,9/30/2018,To use
to tuck amb in,Заманить,9/30/2018,
to lie-in,Валяться в постели,9/30/2018,
falloff,Спад,9/30/2018,
fallout,Выпадать,9/30/2018,
Forefront,передовая,9/30/2018,
Reinvent fhe weel,,10/30/2018,
Equated,Приравнены,10/30/2018,
They are up for,Дступны с,10/30/2018,
oozed,Просочилась,10/30/2018,
Cuts down on,,10/30/2018,
Wrist,Запястье,10/30/2018,
Shrunk,Сжавшийся,10/30/2018,
sour,Кислый,10/30/2018,
to got for a stroll,Прогуляться,10/30/2018,
to hang out,Зависать,10/30/2018,
patch it up,Залатать,10/30/2018,
namely,А именно,10/30/2018,Use
Affluent,Богатый,10/30/2018,
Hideous,Отвратительный,10/30/2018,
High-rise,Высотный,10/30/2018,
Deprived,Заброшенный,10/30/2018,
Run-down area,Упадок,10/30/2018,
Up-and-coming,Развивающаяся,10/30/2018,
Date back,"Восходить, rise",10/30/2018,
Steer clear,Держаться подальше,10/30/2018,
Flea market,Барахолка,10/30/2018,
Rip off,Обдираловка,10/30/2018,
By far,Безусловно,10/30/2018,
In order to retrieve it,Чтобы получить его,11/10/18,
in prophecy,в пророчестве,11/10/18,
incorporate,инкорпорировать,11/10/18,
incorporate query strings into our requests.,включить строки запроса в наши запросы.,11/10/18,
obnoxious,противный,11/10/18,
perishing,погибающих,11/10/18,
retrieve,извлекать,11/10/18,
shore,берег,11/10/18,
tribute,дань,11/10/18,
immensity,необъятность,11/10/18,articles
preliminary,предварительный,11/10/18,articles
"To get a glimpse of how the event loop works,","Чтобы получить представление о том, как работает цикл событий,",11/10/18,"articles, phrase"
acquisition,приобретение,11/10/18,articles
hence that the need to heat,следовательно,11/13/18,articles
"conceivable, convince",возможно убедить,11/13/18,articles
inference,вывод,11/13/18,articles
spurious,ложные,11/14/18,to repeat
hitherto,до сих пор,11/14/18,to repeat
correspondences,соответствия,11/14/18,articles
Undoubtedly,"Несомненно,",11/14/18,to repeat
discernible,неразличимый,11/14/18,to repeat
shuffling,перетасовки,11/14/18,to repeat
steer clear,держаться подальше,11/14/18,to repeat
hence,следовательно ,11/14/18,to repeat
incompatible,несовместимы,11/14/18,to repeat
knots and crevices,узлы и щели,11/14/18,to repeat
acutely,остро,11/14/18,to repeat
intractable,неразрешимыми,11/15/18,
fuse,сливаться плавить,11/15/18,to repeat
implications,последствия,11/15/18,to repeat
contradicted,противоречие,11/15/18,to repeat
juxtaposition,сопоставление,11/15/18,to repeat
constituted,составил,11/16/18,to repeat
Let’s assume,предположим,11/22/18,articles
retrieving information,получение информации,11/22/18,to repeat
merely ,просто = just,11/23/18,to repeat
imposition ,навязывание наложение,11/23/18,to repeat
pertinent ,уместный,11/23/18,to repeat
"sin, sinner","грех, грешник",11/23/18,to repeat
climb,карабкаться ( на гору),11/23/18,to repeat
moses,моисей,11/23/18,to repeat
sacrifice , Приносить в жертву ,11/23/18,to repeat
sanctuary , Священный ,11/23/18,to repeat
cane,,11/29/18,to repeat
begrudgingly,завистливо,11/29/18,to repeat
gluttonous,прожорливый,11/29/18,to repeat
austere,,11/29/18,to repeat
"To control of, over",,11/30/2018,Ask
To fall for smith,Залипнуть,11/30/2018,
Bummer,Подстава,11/30/2018,
Explicit ,Откровенный,11/30/2018,
On the outskirt,Далеко от центра,11/30/2018,
Pickpocketing,Карманные кражи,11/30/2018,
law-abiding,Законопослушный,11/30/2018,
Old habits die hard,Горбатого могила исправит,11/30/2018,
Have cash on me,,11/30/2018,
Make up my mind,Решусь?,11/30/2018,Ask
Bundle up,Утепляться,11/30/2018,
take sip,потягивать,11/30/2018,
Vague,размытый,11/30/2018,
Go easy on smbd,,11/30/2018,
Another,Extra one,11/30/2018,
Others,Several more apart from already mentioned,11/30/2018,
The other,The rest,11/30/2018,
each other ,One another,11/30/2018,
The other day,A few days ago,11/30/2018,
The other one/ones,Alternative,11/30/2018,
The apple of her eye,Свет моих очей,11/30/2018,
Turned over a new leaf,С чистого листа,11/30/2018,
For a rainy day,На черный день,11/30/2018,
Fair-weather friend,Not relible ,11/30/2018,
Every cloud has a silver lining,Есть просвет,11/30/2018,
Stole the thunder,Ускрасть достижения,11/30/2018,
Rainmaker,Make profit,11/30/2018,
Come rain or shine,Whatever,11/30/2018,
Take a rain check,"Baseball, to do later",11/30/2018,
Underrated,Недооценен,11/30/2018,
foliage,Листва,11/30/2018,
Snuggling,Кутаться,11/30/2018,
Lanter,Фонарь,11/30/2018,
to lay out,Explain,11/30/2018,
To shape up,To inprove,11/30/2018,
Rival,Competitor,11/30/2018,
buzzy,Hype,11/30/2018,
Gimmicky,Eye-catching,11/30/2018,
Impose on,,11/30/2018,
To sum it up,,11/30/2018,
Presumably,,11/30/2018,
Scrub back and fourth,,11/30/2018,
retain,Maintain,11/30/2018,
"Restriction, limitation",,11/30/2018,
palatable,Съедобный,11/30/2018,
Luscious,Pleasant,11/30/2018,
Vapid ,Скучный пресный,11/30/2018,
Toothsome,Tasty,11/30/2018,
zesty,Пикантный,11/30/2018,
Acidulous,,11/30/2018,
rancid,Прогорклый протухший,11/30/2018,
Insipid,Пресный,11/30/2018,
Unsavory,Отвратительный,11/30/2018,
pungent,"Резкий, сильный",11/30/2018,
,,11/30/2018,
To give props,Респект,11/30/2018,
Chisy,Банальный,11/30/2018,
,,11/30/2018,
Syringe,Шприц,12/17/18,
Renowned,Fashion,12/17/18,
Cheerful,Веселый,12/17/18,
Stumble over,Натыкаюсь,12/17/18,
Takes over a bit,,12/17/18,
Boast,Хвастаться,12/17/18,
Protective,,12/17/18,
siblings,Браться и сестры,12/17/18,
Rebellious streak,Мятеж,12/17/18,
Be on the same page,Единомышленники,12/17/18,
Hang for,,12/17/18,
Speaking up,,12/17/18,
deed,дела,12/17/18,
Backfire,Негативный фитбек,12/23/2018,
To take instant dislilke,,12/23/2018,Ask
Cheet deceive trick,Обман,12/23/2018,
To swindle out of money,Мошенничество,12/23/2018,
Be on service,Быть полезным,12/23/2018,
Write for public,,12/23/2018,
Print out,Ксерокопия,12/23/2018,
Sore loser,Не умеющий проигрывать достойно,12/23/2018,
A six pack,Кубики на животе,12/23/2018,
Strong suit,Сильная сторона,12/23/2018,
Weight on me,Меня тяготит,12/23/2018,
Threshold,"Порог, граница",12/23/2018,
,,12/23/2018,
exhausted ,истощён ,12/23/2018,
feasible,осуществимый,12/23/2018,
"the aesthetic value can be judged, if not quantified",эст. ценность может быть оценена ,12/23/2018,
humiliates,унизительный,12/23/2018,
that really be called progress,Это действительно можно назвать прогрессом,12/23/2018,
 candidly, Беспристрастно,12/23/2018,
it needs to last, Это должно длиться,12/23/2018,
tangible ,осязаемый,12/23/2018,
He has always aimed to reach,,12/24/2018,
limelight, Центр внимания,12/24/2018,
oeuvre, Творчество,12/24/2018,
at a glance,,12/24/2018,
sparse,Редкий,12/24/2018,
doggedness, Упрямство,12/24/2018,
love affair,Роман,12/24/2018,
congestion,Перегруженный,12/25/2018,
Don't making out,не разобрать (написанное),12/25/2018,
soak into,Впитывается,12/25/2018,
Mess with you,Возиться с тобой,12/25/2018,
one-of-a-kind,Единственный в своем роде,12/25/2018,
Hackneyed,Банальный,12/25/2018,
near sighted,Близорукий,12/26/2018,
constellation,созвездие,12/26/2018,